"Participant","Task","Task_Order","Duration","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device_OS","Illusion_Type","Block","Trial","Stimulus","Illusion_Strength","Illusion_Effect","Illusion_Side","Illusion_Difference","Answer","Error","RT"
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",19,"MullerLyer_-5.25714_0.05000",-5.25714,"Congruent",1,0.05,"up",0,0.661
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",20,"MullerLyer_-5.25714_-0.10808",-5.25714,"Congruent",-1,0.10808,"down",0,0.766
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",22,"MullerLyer_23.0000_-0.10808",23,"Incongruent",-1,0.10808,"up",1,0.856
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",23,"MullerLyer_-23.000_0.10808",-23,"Congruent",1,0.10808,"up",0,0.714
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",24,"MullerLyer_23.0000_-0.18826",23,"Incongruent",-1,0.18826,"up",1,0.897
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",25,"MullerLyer_11.17143_-0.29056",11.17143,"Incongruent",-1,0.29056,"down",0,0.847
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",26,"MullerLyer_-23.000_0.18826",-23,"Congruent",1,0.18826,"up",0,0.543
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",27,"MullerLyer_-23.000_-0.18826",-23,"Congruent",-1,0.18826,"down",0,0.56
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",28,"MullerLyer_-5.25714_0.10808",-5.25714,"Congruent",1,0.10808,"up",0,0.721
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",29,"MullerLyer_11.17143_-0.0500",11.17143,"Incongruent",-1,0.05,"up",1,0.95
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",30,"MullerLyer_23.0000_-0.29056",23,"Incongruent",-1,0.29056,"down",0,1.346
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",31,"MullerLyer_-11.17143_0.18826",-11.17143,"Congruent",1,0.18826,"up",0,0.665
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",32,"MullerLyer_17.08571_0.10808",17.08571,"Incongruent",1,0.10808,"down",1,0.987
"S005","Illusion_Session1",2,40.5850666666667,"1920x947",1.81824,144.23,"firefox","106.0.0","Windows 10","MullerLyer","1",33,"MullerLyer_17.08571_-0.10808",17.08571,"Incongruent",-1,0.10808,"up",1,0.965
