"Participant","Task","Task_Order","Duration","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device_OS","Illusion_Type","Block","Trial","Stimulus","Illusion_Strength","Illusion_Effect","Illusion_Side","Illusion_Difference","Answer","Error","RT"
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",1,"MullerLyer_perceptual_0000000_-0.16134",0,"Incongruent",-1,0.16134,"down",0,0.607
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",2,"MullerLyer_perceptual_0000000_-0.18098",0,"Incongruent",-1,0.18098,"down",0,0.541
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",3,"MullerLyer_perceptual_0000000_0.17102",0,"Incongruent",1,0.17102,"up",0,0.474
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",4,"MullerLyer_perceptual_0000000_0.30913",0,"Incongruent",1,0.30913,"up",0,0.547
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",5,"MullerLyer_perceptual_0000000_-0.14283",0,"Incongruent",-1,0.14283,"down",0,0.6
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",6,"MullerLyer_perceptual_0000000_0.23500",0,"Incongruent",1,0.235,"up",0,0.501
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",7,"MullerLyer_perceptual_0000000_-0.06719",0,"Incongruent",-1,0.06719,"down",0,0.61
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",8,"MullerLyer_perceptual_0000000_0.10149",0,"Incongruent",1,0.10149,"up",0,0.544
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",9,"MullerLyer_perceptual_0000000_0.08693",0,"Incongruent",1,0.08693,"up",0,0.611
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",10,"MullerLyer_perceptual_0000000_-0.05545",0,"Incongruent",-1,0.05545,"down",0,0.57
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",11,"MullerLyer_perceptual_0000000_-0.25858",0,"Incongruent",-1,0.25858,"down",0,0.668
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",12,"MullerLyer_perceptual_0000000_0.07349",0,"Incongruent",1,0.07349,"up",0,0.775
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",14,"MullerLyer_perceptual_0000000_-0.33609",0,"Incongruent",-1,0.33609,"down",0,0.509
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",15,"MullerLyer_perceptual_0000000_-0.10919",0,"Incongruent",-1,0.10919,"up",1,0.756
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",16,"MullerLyer_perceptual_0000000_0.25858",0,"Incongruent",1,0.25858,"up",0,0.553
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",17,"MullerLyer_perceptual_0000000_0.05000",0,"Incongruent",1,0.05,"up",0,0.694
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",18,"MullerLyer_perceptual_0000000_-0.12545",0,"Incongruent",-1,0.12545,"down",0,0.541
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",19,"MullerLyer_perceptual_0000000_-0.20174",0,"Incongruent",-1,0.20174,"down",0,0.72
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",21,"MullerLyer_perceptual_0000000_-0.22363",0,"Incongruent",-1,0.22363,"down",0,0.638
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",22,"MullerLyer_perceptual_0000000_-0.30913",0,"Incongruent",-1,0.30913,"down",0,0.615
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",23,"MullerLyer_perceptual_0000000_-0.28329",0,"Incongruent",-1,0.28329,"down",0,0.677
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",24,"MullerLyer_perceptual_0000000_0.13400",0,"Incongruent",1,0.134,"up",0,0.513
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",25,"MullerLyer_perceptual_0000000_-0.24665",0,"Incongruent",-1,0.24665,"down",0,0.506
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",26,"MullerLyer_perceptual_0000000_0.06118",0,"Incongruent",1,0.06118,"up",0,0.524
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",27,"MullerLyer_perceptual_0000000_0.33609",0,"Incongruent",1,0.33609,"up",0,0.559
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",28,"MullerLyer_perceptual_0000000_-0.08007",0,"Incongruent",-1,0.08007,"down",0,0.605
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",29,"MullerLyer_perceptual_0000000_0.11718",0,"Incongruent",1,0.11718,"up",0,0.555
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",30,"MullerLyer_perceptual_0000000_0.19122",0,"Incongruent",1,0.19122,"up",0,0.65
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",31,"MullerLyer_perceptual_0000000_0.15194",0,"Incongruent",1,0.15194,"up",0,0.566
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","MullerLyer","1",32,"MullerLyer_perceptual_0000000_-0.09407",0,"Incongruent",-1,0.09407,"up",1,0.893
"S033","Perceptual",2,32.2503,"980x1316",1.28968,58.71,"chrome","108.0.0","Android OS","Ebbinghaus","1",1,"Ebbinghaus_perceptual_0000000_0.13982",0,"Incongruent",1,0.13982,"left",0,0.859
