"Participant","Task","Task_Order","Duration","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device_OS","Illusion_Type","Block","Trial","Stimulus","Illusion_Strength","Illusion_Effect","Illusion_Side","Illusion_Difference","Answer","Error","RT"
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,19,"Ebbinghaus_0.87143_0.28000",0.87143,"Incongruent","1",0.28,"left",0,0.475
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,20,"Ebbinghaus_-0.87143_0.15857",-0.87143,"Congruent","1",0.15857,"left",0,0.81
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,21,"Ebbinghaus_0.61429_0.15857",0.61429,"Incongruent","1",0.15857,"left",0,1.513
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,22,"Ebbinghaus_-0.35714_0.28000",-0.35714,"Congruent","1",0.28,"left",0,1.34
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,23,"Ebbinghaus_0.10000_0.28000",0.1,"Incongruent","1",0.28,"left",0,1.87
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,24,"Ebbinghaus_0.10000_-0.11071",0.1,"Incongruent","-1",0.11071,"right",0,0.724
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,25,"Ebbinghaus_-0.35714_-0.15857",-0.35714,"Congruent","-1",0.15857,"right",0,1.113
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,26,"Ebbinghaus_-0.61429_0.11071",-0.61429,"Congruent","1",0.11071,"left",0,1.338
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,27,"Ebbinghaus_0.87143_-0.2150",0.87143,"Incongruent","-1",0.215,"right",0,0.772
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,28,"Ebbinghaus_-0.87143_0.28000",-0.87143,"Congruent","1",0.28,"left",0,0.658
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,29,"Ebbinghaus_-0.87143_-0.11071",-0.87143,"Congruent","-1",0.11071,"right",0,0.852
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,30,"Ebbinghaus_0.35714_0.28000",0.35714,"Incongruent","1",0.28,"left",0,0.681
"S010","Illusion_Session2",NA,27.6705166666667,"1920x969",1.86048,60.03,"chrome","107.0.0","Windows 10","Ebbinghaus",1,31,"Ebbinghaus_0.61429_0.21500",0.61429,"Incongruent","1",0.215,"left",0,1.069
