"Participant","Task","Task_Order","Duration","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device_OS","Illusion_Type","Block","Trial","Stimulus","Illusion_Strength","Illusion_Effect","Illusion_Side","Illusion_Difference","Answer","Error","RT"
"S003","Perceptual",2,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,1,"MullerLyer_perceptual_0000000_0.08007",0,"Incongruent","1",0.08007,"up",0,"1220"
"S003","Perceptual",2,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,2,"MullerLyer_perceptual_0000000_-0.21255",0,"Incongruent","-1",0.21255,"down",0,"578"
"S003","Perceptual",2,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,3,"MullerLyer_perceptual_0000000_0.18098",0,"Incongruent","1",0.18098,"up",0,"464"
"S003","Perceptual",2,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,4,"MullerLyer_perceptual_0000000_-0.10149",0,"Incongruent","-1",0.10149,"down",0,"356"
"S003","Perceptual",2,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,5,"MullerLyer_perceptual_0000000_0.05545",0,"Incongruent","1",0.05545,"up",0,"818"
"S003","Perceptual",2,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,6,"MullerLyer_perceptual_0000000_-0.15194",0,"Incongruent","-1",0.15194,"down",0,"450"
"S003","Perceptual",2,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,7,"MullerLyer_perceptual_0000000_0.29607",0,"Incongruent","1",0.29607,"up",0,"583"
"S003","Perceptual",2,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,8,"MullerLyer_perceptual_0000000_-0.19122",0,"Incongruent","-1",0.19122,"down",0,"698"
"S003","Perceptual",2,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,9,"MullerLyer_perceptual_0000000_0.32247",0,"Incongruent","1",0.32247,"up",0,"494"
"S003","Perceptual",2,27.4175166666667,"1920x937",1.79904,60,"chrome","107.0.0","Windows 10","MullerLyer",1,10,"MullerLyer_perceptual_0000000_0.09407",0,"Incongruent","1",0.09407,"up",0,"609"
