"Participant","Ebbinghaus_Strength_Error","Ebbinghaus_Interaction_Error","Ebbinghaus_Diff_Error","Ebbinghaus_Strength_RT","Ebbinghaus_Interaction_RT","Ebbinghaus_Diff_RT","MullerLyer_Interaction_Error","MullerLyer_Diff_Error","MullerLyer_Strength_Error","MullerLyer_Strength_RT","MullerLyer_Interaction_RT","MullerLyer_Diff_RT","VerticalHorizontal_Strength_Error","VerticalHorizontal_Interaction_Error","VerticalHorizontal_Diff_Error","VerticalHorizontal_Interaction_RT","VerticalHorizontal_Diff_RT","VerticalHorizontal_Strength_RT"
"S001",1.50703,0.0715499,0.836132,0.04400425,0.0282866,-0.428603,-0.0132622,-4.19403,0.452405,0.00517692,-0.002212525,-0.2746225,0.3648915,0.0311664,-4.80163,0.0023702,-0.466561,0.020824
"S002",-5.148435,-0.04673215,13.4878,-0.0300606,-0.03088645,0.2762295,-0.02617855,-3.7955,0.04757115,0.0120258,-0.01280245,-0.248762,-0.610189,-0.00955356,9.66485,0.0004956105,0.308707,-0.027242
"S003",1.27161,0.074824,-0.718132,-0.0191723,0.01788045,0.103967,-0.01225145,-3.67565,0.2001,-0.000686517,0.00449909,-0.2185785,-0.04989015,-0.000610393,2.42756,0.001035425,0.3582185,-0.0283825
"S004",0.4547725,0.1425195,4.71848,0.0315157,0.0362901,-0.361943,0.00560123,0.9794685,-0.1924525,0.03017405,-0.03416295,-0.5683545,0.1089265,0.007916215,-3.8458,0.000764053,-0.9261795,0.0508035
"S005",0.6224475,-0.03238875,-5.51543,0.00591004,0.0300609,-0.168108,-0.03336785,-7.528085,0.2849985,0.02147105,-0.02469745,-0.258469,0.05269395,-0.00689857,-3.607445,-0.005763235,-0.305644,0.02655235
"S006",-2.349545,-0.02304435,8.826225,-0.0311504,-0.04680005,0.33855,-0.001060835,4.554565,-0.1236635,-0.00687806,0.001827315,0.3442405,-0.359704,-0.0109323,6.648675,-8.55602e-05,0.5731285,-0.02784015
"S007",1.56764,0.213857,6.13055,0.009976105,0.0427175,-0.2503675,-0.02091605,-2.500565,0.075396,0.007353895,-0.01112495,0.009151815,0.131848,-0.0005600725,-0.2880995,0.00209181,-0.1928225,0.0129715
"S009",0.9398055,0.07154575,-0.6206225,0.03912715,0.0802119,-0.5419275,-0.0016898,0.895658,0.0758747,0.00183308,-0.004080235,0.14464,-0.3741455,-0.0301207,0.5601405,0.000699756,-0.3016015,0.01093065
"S010",-2.88706,-0.1005525,5.604845,0.03699465,0.04493305,-0.4194,0.03300715,8.872205,-1.17792,-0.002236865,0.00728061,-0.24205,-0.625656,-0.04017725,6.41168,0.01510815,-0.6919515,0.006375815
"S011",-0.2099405,-0.003298615,1.61763,-0.0382791,0.004452145,0.16996,-0.0189203,-5.31657,0.3645385,0.0103817,-0.01003015,-0.256205,-0.236483,-0.00649574,0.727357,-0.00170894,0.117917,-0.00456038
"S012",0.0792763,-0.1328715,-8.12537,0.0394612,-0.0111229,-0.146499,-0.017254,-7.3999,0.515024,0.02434505,-0.0247154,-0.6293035,0.0812595,0.00296503,-6.004015,0.000249142,-0.4214025,0.0236608
