"Ind_Ebbinghaus_Diff_Error","Ind_Ebbinghaus_Strength_Error","Ind_Ebbinghaus_Interaction_Error","Ind_Ebbinghaus_Diff_RT","Ind_Ebbinghaus_Strength_RT","Ind_Ebbinghaus_Interaction_RT","Ind_MullerLyer_Diff_Error","Ind_MullerLyer_Strength_Error","Ind_MullerLyer_Interaction_Error","Ind_MullerLyer_Diff_RT","Ind_MullerLyer_Strength_RT","Ind_MullerLyer_Interaction_RT","Ind_VerticalHorizontal_Diff_Error","Ind_VerticalHorizontal_Strength_Error","Ind_VerticalHorizontal_Interaction_Error","Ind_VerticalHorizontal_Diff_RT","Ind_VerticalHorizontal_Strength_RT","Ind_VerticalHorizontal_Interaction_RT","Participant","PriorScale"
-20.7074,2.418695,2.269465,-0.840169,-0.0194603,0.2917495,-30.41915,1.58749,1.37894,-0.8076325,0.01929865,-0.00943378,-15.8829,0.738575,0.549686,-0.9020175,0.05107035,0.00916024,"S208",0.5
-20.55805,2.32928,2.01042,-0.841179,-0.01721855,0.292514,-30.6542,1.584305,1.293715,-0.8044345,0.0172521,-0.01011725,-15.93165,0.7067285,0.422754,-0.890533,0.05261775,0.0154277,"S208",1
-20.0309,2.199735,1.90668,-0.8390065,-0.01826825,0.27369,-31.0277,1.59152,1.14851,-0.766782,0.0095822,-0.00942786,-16.2952,0.7223945,0.2639345,-0.873143,0.0484526,0.01457475,"S208",2
-19.4705,2.219065,2.62703,-0.832046,-0.0332345,0.06964765,-31.8729,1.645015,0.8940685,-0.598594,-0.005645105,0.00156517,-18.6378,0.8118985,-0.1888675,-0.812489,0.02925275,0.0325281,"S208",4
-20.5229,2.486725,2.560925,-0.839647,-0.01977375,0.2905545,-30.1774,1.58509,1.4495,-0.81305,0.0192285,-0.0097628,-15.84345,0.737065,0.556304,-0.9197195,0.0477052,0.004346335,"S334",0.5
-20.3353,2.51123,2.63216,-0.8422595,-0.0183201,0.286456,-29.66875,1.57739,1.56834,-0.813459,0.0173843,-0.01119885,-15.66275,0.6986575,0.470898,-0.9298835,0.04399375,-0.00120013,"S334",1
-19.9385,2.552295,2.29257,-0.8456615,-0.01388795,0.282524,-27.9645,1.5659,2.008165,-0.807468,0.0118845,-0.0121401,-15.51155,0.691776,0.3798075,-0.87145,0.02583795,0.01444425,"S334",2
-19.68185,2.50906,0.9249755,-0.8492995,0.0144718,0.3095855,-25.12585,1.5175,2.58466,-0.5680235,-0.00405638,0.00470615,-15.8776,0.695858,0.1656155,-0.5339725,-0.01002325,0.08063395,"S334",4
-20.75435,2.41207,2.18758,-0.8410345,-0.0205508,0.2829855,-30.4833,1.58576,1.379375,-0.8100175,0.0196377,-0.008992845,-15.6248,0.7694445,0.666909,-0.9146115,0.0489263,0.006009495,"S288",0.5
-20.6696,2.305385,1.770515,-0.846685,-0.0240273,0.2691695,-30.76885,1.57901,1.308125,-0.809411,0.01853655,-0.008540965,-15.7565,0.7899385,0.672478,-0.9216825,0.04731935,0.00298598,"S288",1
-20.07365,2.165465,1.49269,-0.8711105,-0.03405165,0.1869055,-31.2789,1.59582,1.28296,-0.7911725,0.01120955,-0.003962155,-16.1204,0.867509,0.8082275,-0.920488,0.04060845,0.00472671,"S288",2
-19.61085,2.13222,1.278285,-0.78325,-0.0539759,0.2318875,-32.7444,1.673255,1.31412,-0.5576655,-0.008409245,0.01160895,-18.47635,1.120495,0.986031,-0.8273365,0.02244275,0.0110563,"S288",4
-20.74035,2.41869,2.221285,-0.8386105,-0.0182308,0.295853,-30.6273,1.578205,1.3115,-0.8130195,0.0199682,-0.00918649,-15.95165,0.7286055,0.52807,-0.9112015,0.050675,0.008046165,"S293",0.5
-20.6488,2.325165,1.752455,-0.8337755,-0.00806329,0.3046065,-31.0284,1.546915,1.171395,-0.8183775,0.01985885,-0.00953418,-15.8211,0.67747,0.438019,-0.9195395,0.052052,0.0124456,"S293",1
-20.24195,2.171615,1.167015,-0.8120715,0.002010335,0.3506245,-31.76635,1.519815,0.848128,-0.831345,0.0182812,-0.009303665,-16.09735,0.6713225,0.3257815,-0.9375845,0.0547329,0.0213748,"S293",2
-20.29965,2.122625,0.2227805,-0.7817355,0.009938295,0.3791585,-34.0315,1.500695,0.105426,-0.807085,0.01177645,-0.00282597,-17.861,0.688241,-0.01427075,-0.8755435,0.0392902,0.04578885,"S293",4
-20.7295,2.426915,2.27496,-0.839695,-0.0197193,0.290297,-30.2621,1.59024,1.436135,-0.81441,0.0186066,-0.0101001,-15.8279,0.741208,0.570766,-0.921512,0.04847745,0.00450574,"S372",0.5
-20.67035,2.348595,1.976465,-0.841321,-0.01932355,0.2868755,-30.23295,1.59735,1.473005,-0.8143905,0.0149512,-0.0119235,-15.73285,0.700559,0.46268,-0.9419,0.0462606,-0.001278525,"S372",1
-20.33635,2.24903,1.74704,-0.880409,-0.0294731,0.216404,-30.08455,1.630225,1.6423,-0.7683,0.001456635,-0.00713285,-15.75805,0.685996,0.361032,-0.8779175,0.0429192,0.01606465,"S372",2
-20.47765,2.239505,1.965805,-0.8561885,-0.0115035,0.2680205,-30.7052,1.724235,1.936315,-0.5278645,-0.008181105,0.01550175,-16.3687,0.686979,0.0684789,-0.6323305,0.0242073,0.02251605,"S372",4
-20.66525,2.45312,2.41255,-0.8401705,-0.0190971,0.2939895,-30.4638,1.585285,1.362475,-0.8136535,0.018963,-0.009792195,-15.77875,0.743731,0.5803075,-0.904047,0.0498309,0.007470485,"S317",0.5
-20.5984,2.42373,2.31943,-0.8401225,-0.01603415,0.302184,-30.77095,1.573835,1.249275,-0.81412,0.01636855,-0.0108008,-15.5858,0.715568,0.523635,-0.892626,0.04794635,0.00561398,"S317",1
-20.27335,2.457055,2.843325,-0.835272,-0.0213629,0.3357825,-31.2468,1.566905,1.07342,-0.7742785,0.00757692,-0.00459966,-15.29505,0.723188,0.525945,-0.8298135,0.02628865,0.01267,"S317",2
-20.82295,2.859425,4.371025,-0.664155,-0.0341388,0.382378,-31.96615,1.585445,0.7263775,-0.5100455,-0.008432775,0.02029225,-15.2575,0.759229,0.463821,-0.646621,0.001579995,0.05091825,"S317",4
-20.7387,2.401545,2.108205,-0.841786,-0.0206091,0.284789,-30.20205,1.58925,1.4452,-0.815799,0.019116,-0.00997747,-15.79735,0.7443335,0.58907,-0.911536,0.0489986,0.006127575,"S450",0.5
-20.6909,2.273735,1.46499,-0.8464755,-0.02407835,0.2717245,-30.0325,1.59006,1.48656,-0.8206965,0.01675455,-0.01208985,-15.7151,0.717834,0.5092965,-0.912633,0.04715865,0.003311845,"S450",1
-20.2624,2.00471,0.2918615,-0.8714835,-0.05219805,0.1673325,-29.14595,1.60233,1.70577,-0.825051,0.007978615,-0.0135116,-15.5432,0.7189965,0.4689805,-0.87309,0.03911995,0.01333285,"S450",2
-20.05125,1.557225,-2.621615,-0.756883,-0.08586305,0.2243395,-27.89495,1.63139,2.056705,-0.594389,-0.001449205,0.005254495,-16.14405,0.752789,0.334704,-0.738059,0.0352281,0.03435975,"S450",4
-20.9091,2.37004,1.95106,-0.839296,-0.0200944,0.2894355,-30.3285,1.581765,1.37842,-0.816493,0.01887725,-0.01018925,-15.40395,0.766783,0.681868,-0.921439,0.04486645,0.00191139,"S135",0.5
