"Participant","Perception_Ebbinghaus_Intercept_Error","Perception_Ebbinghaus_Difficulty_Error","Perception_Ebbinghaus_Intercept_RT","Perception_Ebbinghaus_Difficulty_RT","Perception_Ebbinghaus_Intercept_BetaRT","Perception_Ebbinghaus_Difficulty_BetaRT","Perception_Ebbinghaus_Intercept_SigmaRT","Perception_Ebbinghaus_Difficulty_SigmaRT","Perception_MullerLyer_Difficulty_Error","Perception_MullerLyer_Intercept_Error","Perception_MullerLyer_Difficulty_RT","Perception_MullerLyer_Intercept_RT","Perception_MullerLyer_Difficulty_BetaRT","Perception_MullerLyer_Intercept_BetaRT","Perception_MullerLyer_Difficulty_SigmaRT","Perception_MullerLyer_Intercept_SigmaRT","Perception_VerticalHorizontal_Difficulty_Error","Perception_VerticalHorizontal_Intercept_Error","Perception_VerticalHorizontal_Intercept_RT","Perception_VerticalHorizontal_Difficulty_RT","Perception_VerticalHorizontal_Intercept_BetaRT","Perception_VerticalHorizontal_Difficulty_BetaRT","Perception_VerticalHorizontal_Intercept_SigmaRT","Perception_VerticalHorizontal_Difficulty_SigmaRT"
"S001",0.02126825,-1.79638,0.272767,-0.251307,0.5473805,0.5094045,-0.03736735,0.003783455,-1.666115,0.2929055,-0.2272775,0.2724645,0.164433,0.481794,-0.0588526,0.1317955,-1.93477,0.492735,0.272333,-0.606274,0.626876,0.372161,0.4532625,-1.16716
"S002",-0.05191175,3.40817,0.2841715,-0.2613975,0.4921425,0.4350055,0.961762,-0.1728255,1.355035,-0.236719,-0.360243,0.4149025,0.2383985,0.5951335,-0.2142545,0.539455,4.846795,-1.203225,0.236217,-0.5020425,0.705842,0.3386865,-0.281991,0.862952
"S004",0.02244855,-1.17929,0.2345705,-0.2383525,0.518898,0.5106685,0.2501465,-0.02996215,-2.671745,0.455374,-0.1415555,0.1709735,0.2292825,0.7005745,0.1178735,-0.3299385,-4.655315,1.13066,0.12587,-0.253208,0.758591,0.309458,-0.2950685,0.654359
"S005",0.03860025,-2.9625,0.453076,-0.4126795,0.5848475,0.4558815,0.4105115,-0.0781327,-2.605795,0.4741825,-0.2427365,0.2680385,0.2168535,0.5567645,0.1065625,-0.287726,-4.22411,1.030985,0.3725865,-0.794225,0.824017,0.421542,-0.05871275,0.1564465
"S006",-0.02040125,1.214835,0.008656755,0.0002366475,0.2610035,0.180614,0.194822,-0.02577025,1.17848,-0.0985405,0.06879525,-0.09883585,0.00194691,0.0454476,-0.0508828,0.136793,3.25152,-0.76242,-0.03178135,0.0656858,0.0969085,0.02188825,-0.1466405,0.1737455
"S007",-0.0203616,2.76509,0.114965,-0.09056235,0.595588,0.4734735,-0.270402,0.03511525,-1.29217,0.2934495,0.02058625,-0.0233515,0.0345737,0.08148075,0.0567044,-0.160164,-1.395375,0.3473805,0.039671,-0.06978965,0.453493,0.131823,-0.14447,0.3363835
"S009",0.0326118,-2.98199,-0.03249435,-0.01963915,-0.449076,-0.3355835,0.317663,-0.0247846,-0.63874,0.136549,-0.0974625,0.07967625,0.05912015,0.151719,-0.136594,0.328042,-4.87193,1.16906,-0.00359954,-0.03963385,-0.01726295,0.0104279,0.1253245,-0.239923
"S010",-0.00307417,-0.953255,0.619184,-0.5584035,0.9400155,0.758572,-0.0896948,0.00572483,1.204555,-0.2809675,-0.3818155,0.461368,0.292132,0.9999345,-0.07322205,0.1948695,2.72073,-0.6815865,0.713083,-1.493635,1.35028,0.5782775,-0.258652,0.686581
"S011",0.001067735,0.3230955,-0.109234,0.0895782,-0.176728,-0.1337075,0.2002995,-0.0113858,-0.769327,0.1751935,0.0510677,-0.0730228,-0.05169825,-0.0950513,-0.04862895,0.09394115,-0.8613835,0.196923,0.00514729,-0.005265045,0.001132285,0.00247685,0.16751,-0.420166
"S012",0.0207724,-1.74295,0.0495704,-0.05802785,0.1537165,0.091824,-0.0226311,-0.0043055,-2.474385,0.4300955,-0.1477925,0.1521955,0.203146,0.443456,-0.02667485,0.0833497,-2.927425,0.7385065,0.05180015,-0.0960365,0.211776,-0.0155323,-0.397861,0.9976115
